"id","part_of_speech","definition","answer"
"1","noun","the heat","o calor"
"2","verb","scream","gritar"
"3","adj.","innocent","inocente"
"4","noun","the major","o major"
"5","noun","the colleague","o colega"
"6","noun","the song","a canção"
"7","adj.","professional","profissional"
"8","noun","the duty","o dever"
"9","noun","the use","o uso"
"10","noun","the group, gang","a malta"
"11","noun","the theory","a teoria"
"12","noun","the prom","o baile"
"13","adj.","old","antigo"
"14","noun","the threat","a ameaça"
"15","verb","offer","oferecer"
"16","noun","the wind","o vento"
"17","noun","the political party","o partido"
"18","noun","the map","o mapa"
"19","adv.","never","jamais"
"20","adj.","connected","ligado"
"21","adj.","sitting","sentado"
"22","adj.","correct","correcto"
"23","adj.","pleasant","agradável"
"24","noun","the review","a revisão"
"25","verb","visit","visitar"
"26","adj.","various","vário"
"27","verb","rest","descansar"
"28","noun","the aspect","o aspecto"
"29","adj.","third","terceiro"
"30","noun","the hat","o chapéu"
"31","noun","the team (sports)","a equipe"
"32","noun","the prince","o príncipe"
"33","verb","prevent","impedir"
"34","verb","decide","decidir"
"35","noun","the weight","o peso"
"36","noun","the pilot","o piloto"
"37","noun","the interior","o interior"
"38","verb","come back","regressar"
"39","adv.","obviously","obviamente"
"40","verb","take long","demorar"
"41","verb","depend","depender"
"42","verb","pretend","fingir"
"43","noun","the forest","a floresta"
"44","noun","the magic","a magia"
"45","noun","the universe","o universo"
"46","noun","the milk","o leite"
"47","adj.","expensive","caro"
"48","noun","the cake","o bolo"
"49","noun","the rain","a chuva"
"50","noun","the change, transformation","a mudança"
"51","adj.","exact","exacto"
"52","adj.","open","aberto"
"53","noun","the surgery","a cirurgia"
"54","noun","the power","o poder"
"55","verb","lie down","deitar"
"56","adv.","nevertheless","entanto"
"57","adv.","in front","diante"
"58","adj.","injured","ferido"
"59","noun","the interest","o interesse"
"60","noun","the material","o material"
"61","noun","the east","o leste"
"62","adj.","made","feito"
"63","noun","the assistant","o assistente"
"64","adv.","a little bit","bocadinho"
"65","adv.","to endure","aguentar"
"66","adv.","rapidly","rapidamente"
"67","noun","the judge","o juiz"
"68","verb","smoke","fumar"
"69","noun","the politics","a política"
"70","adj.","obvious","óbvio"
"71","verb","turn off","desligar"
"72","verb","calm","acalmar"
"73","verb","build","construir"
"74","adj.","written","escrito"
"75","noun","the virus","o vírus"
"76","noun","the nonsense","a treta"
"77","noun","the fragment","o pedaço"
"78","noun","the market","o mercado"
"79","adj.","natural","natural"
"80","noun","the baby","o bebê"
"81","noun","the loss","a perda"
"82","noun","the apprehension","o receio"
"83","verb","act","agir"
"84","noun","the coach","o treinador"
"85","noun","the confusion","a confusão"
"86","noun","the trial","o julgamento"
"87","verb","wish","desejar"
"88","noun","the brother","o mano"
"89","verb","belong","pertencer"
"90","noun","the lake","o lago"
"91","noun","the chocolate","o chocolate"
"92","adj.","of that","daquele"
"93","noun","the employer","o patrão"
"94","noun","the senator","o senador"
"95","noun","the corridor","o corredor"
"96","noun","the witness","a testemunha"
"97","noun","the network","a rede"
"98","noun","the shirt","a camisa"
"99","verb","grow","crescer"
"100","noun","the result","o resultado"
"101","adj.","guilty","culpado"
"102","noun","the home","o lar"
"103","adj.","interested","interessado"
"104","adj.","so much","tanto"
"105","adv.","personally","pessoalmente"
"106","verb","agree","concordar"
"107","verb","cost","custar"
"108","noun","the departure","a partida"
"109","noun","the moment, instant","o instante"
"110","adj.","similar","parecido"
"111","noun","the coast","a costa"
"112","noun","the prey","a presa"
"113","adj.","fat","gordo"
"114","noun","the victory","a vitória"
"115","noun","the purse","a bolsa"
"116","noun","the sensation","a sensação"
"117","noun","the escape plan","a fuga"
"118","verb","dispatch","despachar"
"119","noun","the gender","o género"
"120","verb","deserve","merecer"
"121","noun","the press","a imprensa"
"122","noun","the offer","a oferta"
"123","noun","the return trip","a volta"
"124","adj.","powerful","poderoso"
"125","verb","hate","detestar"
"126","adv.","only (more formal)","somente"
"127","noun","the explosion","a explosão"
"128","noun","the gas","o gás"
"129","noun","the ticket","o bilhete"
"130","noun","the training","o treino"
"131","noun","the revenge","a vingança"
"132","noun","the presence","a presença"
"133","noun","the large mountain","a montanha"
"134","noun","the storm","a tempestade"
"135","noun","the spin","o giro"
"136","noun","the contract","o contrato"
"137","noun","the safe","o cofre"
"138","noun","the rage","a raiva"
"139","verb","turn","virar"
"140","adj.","objective","objectivo"
"141","noun","the murder","o assassinato"
"142","noun","the Saturday","o sábado"
"143","noun","the male cousin","o primo"
"144","adj.","satiated","farto"
"145","adj.","overall","geral"
"146","adj.","loose","solto"
"147","noun","the rose","a rosa"
"148","verb","jump","saltar"
"149","noun","the garden","o jardim"
"150","adj.","grave","grave"
"151","verb","notify","avisar"
"152","noun","the effect","o efeito"
"153","noun","the bottle","a garrafa"
"154","verb","dress","vestir"
"155","adv.","somewhere","algures"
"156","adv.","apparently","aparentemente"
"157","noun","the knowledge","o conhecimento"
"158","noun","the tower","a torre"
"159","noun","the champion","o campeão"
"160","noun","the technology","a tecnologia"
"161","noun","the society","a sociedade"
"162","noun","the responsibility","a responsabilidade"
"163","noun","the companion","o companheiro"
"164","noun","the project","o projeto"
"165","noun","the equipment","o equipamento"
"166","noun","the tall building","o prédio"
"167","verb","study","estudar"
"168","noun","the property","a propriedade"
"169","noun","the rock music","o rock"
"170","adj.","medical","médico"
"171","noun","the dough","a massa"
"172","noun","the truck","o camião"
"173","noun","the helicopter","o helicóptero"
"174","noun","the science","a ciência"
"175","verb","be left","restar"
"176","verb","arrest","prender"
"177","noun","the research","a pesquisa"
