"no","part_of_speech","definition","answer"
"1","","и","and"
"2","","в","in (inside)"
"3","","не","not"
"4","","он","he"
"5","","на","on"
"6","","я","I"
"7","","что","what"
"8","","тот","that (specific)"
"9","verb","быть","be (state of being)"
"10","","с","with (along)"
"11","","а","but (contrast)"
"12","","весь","whole"
"13","","это","this (neutral)"
"14","","как","how"
"15","","она","she"
"16","","по","by"
"17","","но","but (negative)"
"18","","они","they"
"19","","к","to (direction)"
"20","","у","at (location)"
"21","","ты","you (singular)"
"22","","из","from (origin)"
"23","","мы","we"
"24","","за","for (in exchange)"
"25","","вы","you (plural)"
"26","adv.","так","so (in this way)"
"27","","же","well (indeed)"
"28","","от","from (distance)"
"29","verb","сказать","say (once)"
"30","","этот","this (masculine)"
"31","","который","which (specific)"
"32","verb","мочь","be able (general term)"
"33","noun","человек","person"
"34","","о","about (regarding)"
"35","num.","один","one"
"36","","еще","yet"
"37","","бы","would"
"38","","такой","such (kind)"
"39","","только","only (solely)"
"40","","себя","self"
"41","","свое","own (neutral gender)"
"42","","какой","which (questioning)"
"43","","когда","when"
"44","","уже","already (used)"
"45","","для","for (purpose)"
"46","","вот","here"
"47","","кто","who (specific)"
"48","","да","yes (affirmative)"
"49","verb","говорить","speak (ongoing)"
"50","noun","год","year"
"51","verb","знать","know (general)"
"52","","мой","my"
"53","","до","before (until)"
"54","","или","or"
"55","","если","if (conditional)"
"56","noun","время","time"
"57","noun","рука","hand"
"58","","нет","no (negative)"
"59","","самый","most"
"60","","ни","nor"
"61","verb","стать","become (become)"
"62","adj.","большой","big"
"63","","даже","even (also)"
"64","","другой","other (alternative)"
"65","","наш","our"
"66","","свой","own (masculine)"
"67","","ну","well (so)"
"68","","под","under"
"69","adv.","где","where (at which place)"
"70","noun","дело","matter"
"71","verb","есть","have (exist)"
"72","","сам","itself"
"73","noun","раз","time, occasion"
"74","","чтобы","in order to (purpose)"
"75","num.","два","two"
"76","adv.","там","there (over there)"
"77","","чем","than"
"78","noun","глаз","eye"
"79","noun","жизнь","life"
"80","num.","первый","first"
"81","noun","день","day"
"82","adv.","тут","here (right here)"
"83","","во","in (into)"
"84","","ничто","nothing (nihilistic)"
"85","adv.","потом","then (afterwards)"
"86","adv.","очень","very"
"87","","со","with (together)"
"88","verb","хотеть","want (desire)"
"89","","ли","whether"
"90","","при","at (during)"
"91","noun","голова","head"
"92","","надо","must"
"93","","без","without"
"94","verb","видеть","see (observe)"
"95","verb","идти","go (go by foot)"
"96","adv.","теперь","now (currently)"
"97","adv.","тоже","also"
"98","verb","стоять","stand (stand still)"
"99","noun","друг","friend"
"100","noun","дом","house"
"101","adv.","сейчас","now (right now)"
"102","","можно","possible"
"103","","после","after (subsequent)"
"104","noun","слово","word"
"105","adv.","здесь","here (in this place)"
"106","verb","думать","think (contemplate)"
"107","noun","место","place"
"108","verb","спросить","ask directly"
"109","","через","through (across)"
"110","noun","лицо","face"
"111","","что","that (general)"
"112","adv.","тогда","then (at that time)"
"113","","ведь","after all"
"114","adj.","хороший","good"
"115","","каждый","every"
"116","adj.","новый","new (fresh)"
"117","verb","жить","live (in general)"
"118","adj.","должный","due"
"119","verb","смотреть","watch (ongoing)"
"120","adv.","почему","why (for what reason)"
"121","adv.","потому","because"
"122","noun","сторона","side"
"123","adv.","просто","simply (merely)"
"124","noun","нога","leg"
"125","verb","сидеть","sit (sit)"
"126","verb","понять","understand (understand)"
"127","verb","иметь","have (possess)"
"128","adj.","конечный","final (last)"
"129","verb","делать","do"
"130","adv.","вдруг","suddenly (unexpected)"
"131","","над","over (above)"
"132","verb","взять","take (take)"
"133","","никто","nobody"
"134","verb","сделать","make (do something)"
"135","noun","дверь","door"
"136","","перед","before (in front)"
"137","adj.","нужный","necessary (needed)"
"138","verb","понимать","understand (be understanding)"
"139","verb","казаться","seem"
"140","noun","работа","work"
"141","num.","три","three"
"142","","ваш","your (plural)"
"143","","уж","already (informal)"
"144","noun","земля","earth"
"145","noun","конец","end"
"146","adv.","несколько","several"
"147","noun","час","hour"
"148","noun","голос","voice"
"149","noun","город","city"
"150","adj.","последний","last"
"151","adv.","пока","while"
"152","adv.","хорошо","good"
"153","verb","давать","give regularly"
"154","noun","вода","water"
"155","adv.","более","more"
"156","","хотя","although"
"157","adv.","всегда","always"
"158","num.","второй","second"
"159","adv.","куда","where (to which place)"
"160","verb","пойти","go (start going by foot)"
"161","noun","стол","table"
"162","noun","ребенок","child"
"163","verb","увидеть","see (catch sight)"
"164","noun","сила","power (strength, force)"
"165","noun","отец","father"
"166","noun","женщина","woman"
"167","noun","машина","car"
"168","noun","случай","case"
"169","noun","ночь","night"
"170","adv.","сразу","immediately (straightaway)"
"171","noun","мир","world"
"172","adv.","совсем","completely (utterly)"
"173","verb","остаться","stay (once)"
"174","","об","about (concerning)"
"175","noun","вид","view"
"176","verb","выйти","go out, exit"
"177","verb","дать","give once"
"178","verb","работать","work (general term)"
"179","verb","любить","love"
"180","adj.","старый","old"
"181","adv.","почти","almost"
"182","noun","ряд","row"
"183","verb","оказаться","turn out"
"184","noun","начало","beginning"
"185","","твой","your (singular)"
"186","noun","вопрос","question"
"187","adv.","много","many"
"188","noun","война","war"
"189","adv.","снова","again (once more)"
"190","verb","ответить","answer (single instance)"
"191","","между","between (objects)"
"192","verb","подумать","think (ponder)"
"193","adv.","опять","again (yet again)"
"194","adj.","белый","white"
"195","noun","деньги","money"
"196","verb","значить","mean (specific)"
"197","","про","about (about)"
"198","","лишь","only (merely)"
"199","noun","минута","minute"
"200","noun","жена","wife"
"201","verb","посмотреть","watch (once)"
"202","noun","правда","truth"
"203","adj.","главный","main (primary)"
"204","noun","страна","country"
"205","noun","свет","light"
"206","verb","ждать","wait (wait)"
"207","noun","мать","mother"
"208","","будто","as if (supposedly)"
"209","adv.","никогда","never"
"210","noun","товарищ","comrade"
"211","noun","дорога","road"
"212","","однако","however (contrast)"
"213","verb","лежать","lie (physically)"
"214","","именно","precisely"
"215","noun","окно","window"
"216","","никакой","no (none at all)"
"217","verb","найти","find directly"
"218","verb","писать","write (general term)"
"219","noun","комната","room"
"220","noun","Москва","Moscow"
"221","noun","часть","part"
"222","adv.","вообще","generally"
"223","noun","книга","book"
"224","adj.","маленький","small (little)"
"225","noun","улица","street"
"226","verb","решить","decide (resolve)"
"227","adj.","далёкий","distant (far away)"
"228","adv.","далеко","far"
"229","noun","душа","soul"
"230","adv.","чуть","slightly (a bit)"
"231","verb","вернуться","return (come back)"
"232","noun","утро","morning"
"233","","некоторый","some (certain)"
"234","verb","считать","count (generally)"
"235","adv.","сколько","how many"
"236","verb","помнить","remember (remember)"
"237","noun","вечер","evening"
"238","noun","пол","floor"
"239","","таки","indeed"
"240","verb","получить","get (receive)"
"241","noun","народ","people"
"242","noun","плечо","shoulder"
"243","","хоть","even though"
"244","adv.","сегодня","today (this day)"
"245","noun","бог","god"
"246","adv.","вместе","together (combined)"
"247","noun","взгляд","glance"
"248","verb","ходить","walk"
"249","adv.","зачем","why (for what purpose)"
"250","adj.","советский","Soviet, Russian"
"251","noun","русский","Russian"
"252","adj.","русский","Russian (language)"
"253","verb","бывать","visit periodically"
"254","adj.","полный","full"
"255","verb","прийти","come (completed action)"
"256","noun","палец","finger"
"257","noun","Россия","Russia"
"258","","любой","any (every)"
"259","noun","история","history"
"260","adv.","наконец","finally (at last)"
"261","noun","мысль","thought"
"262","verb","узнать","find out (discovery)"
"263","adv.","назад","back (directionally)"
"264","adj.","общий","common"
"265","verb","заметить","notice (once)"
"266","","словно","as if (seemingly)"
"267","adj.","прошлый","past (previous)"
"268","verb","уйти","leave (a place)"
"269","adj.","известный","well-known, famous"
"270","adv.","давно","long ago"
"271","verb","слышать","hear (in general)"
"272","verb","слушать","listen (listen)"
"273","verb","бояться","be afraid"
"274","noun","сын","son"
"275","","нельзя","cannot"
"276","adv.","прямо","straight"
"277","adv.","долго","long"
"278","adv.","быстро","fast"
"279","adj.","быстрый","fast"
"280","noun","лес","forest"
"281","adj.","похожий","similar (resembling)"
"282","noun","пора","time, season"
"283","num.","пять","five"
"284","verb","глядеть","look (to glance)"
"285","","оно","it"
"286","verb","сесть","sit (sit down)"
"287","noun","имя","name"
"288","","ж","oh (surprise)"
"289","noun","разговор","conversation"
"290","noun","тело","body"
"291","adj.","молодой","young (youthful)"
"292","noun","стена","wall"
"293","adj.","красный","red"
"294","verb","читать","read (read)"
"295","noun","право","right"
"296","noun","старик","old man"
"297","adj.","ранний","early"
"298","verb","хотеться","want (want something)"
"299","noun","мама","mom"
"300","verb","оставаться","remain"
"301","adj.","высокий","tall, high"
"302","adv.","высоко","high"
"303","noun","путь","path"
"304","adv.","поэтому","therefore (as a result)"
"305","adv.","совершенно","completely (totally)"
"306","","кроме","except"
"307","num.","тысяча","thousand"
"308","noun","месяц","month"
"309","verb","брать","take (be taking)"
"310","verb","написать","write (completed action)"
"311","adj.","целый","whole"
"312","adj.","огромный","huge (enormous)"
"313","verb","начинать","begin doing"
"314","noun","спина","back"
"315","adj.","настоящий","real (true)"
"316","","пусть","let"
"317","noun","язык","language"
"318","adv.","точно","exactly (precise)"
"319","","среди","among (in the midst)"
"320","verb","чувствовать","feel generally"
"321","noun","сердце","heart"
"322","verb","вести","lead (lead by guiding)"
"323","adv.","иногда","sometimes"
"324","noun","мальчик","boy"
"325","verb","успеть","manage in time"
"326","noun","небо","sky"
"327","adj.","живой","alive"
"328","noun","смерть","death"
"329","verb","продолжать","continue (action)"
"330","noun","девушка","girl"
"331","noun","образ","image"
"332","","ко","to (towards)"
"333","verb","забыть","forget (completely)"
"334","","вокруг","around"
"335","noun","письмо","letter"
"336","noun","власть","power (authority, government)"
"337","adj.","черный","black"
"338","verb","пройти","pass (once)"
"339","verb","появиться","appear suddenly"
"340","noun","воздух","air"
"341","adj.","разный","various, different"
"342","verb","выходить","go out, leave"
"343","verb","просить","request, ask"
"344","noun","брат","brother"
"345","adj.","собственный","own"
"346","noun","отношение","relationship"
"347","adv.","затем","then (subsequently)"
"348","verb","пытаться","try (try)"
"349","verb","показать","show (once)"
"350","verb","вспомнить","remember (recall)"
"351","noun","система","system"
"352","num.","четыре","four"
"353","noun","квартира","apartment"
"354","verb","держать","hold (object)"
"355","","также","also"
"356","noun","любовь","love"
"357","noun","солдат","soldier"
"358","adv.","откуда","where from"
"359","","чтоб","to (in order to)"
"360","verb","называть","call regularly"
"361","num.","третий","third"
"362","noun","хозяин","owner"
"363","","вроде","like"
"364","verb","уходить","leave gradually"
"365","verb","подойти","approach closely"
"366","verb","поднять","lift (lift up)"
"367","adv.","особенно","especially"
"368","verb","спрашивать","be asking"
"369","noun","начальник","chief"
"370","num.","оба","both"
"371","verb","бросить","throw once"
"372","noun","школа","school"
"373","noun","парень","guy"
"374","noun","кровь","blood"
"375","num.","двадцать","twenty"
"376","noun","солнце","sun"
"377","noun","неделя","week"
"378","verb","послать","send once"
"379","verb","находиться","be located (temporary)"
"380","noun","ребята","guys"
"381","verb","поставить","put (put in place)"
"382","verb","встать","stand (stand up)"
"383","","например","for example"
"384","noun","шаг","step"
"385","noun","мужчина","man"
"386","adv.","равно","equally (fairly)"
"387","noun","нос","nose"
"388","adv.","мало","little"
"389","noun","внимание","attention"
"390","noun","капитан","captain"
"391","noun","ухо","ear"
"392","adv.","туда","there (to that place)"
"393","adv.","сюда","here (to this place)"
"394","verb","играть","play (repeatedly)"
"395","verb","следовать","follow, adhere"
"396","verb","рассказать","tell (once)"
"397","adj.","великий","great (grand)"
"398","adv.","действительно","really (truly)"
"399","adv.","слишком","too"
"400","adj.","тяжёлый","heavy (weight)"
"401","verb","спать","sleep (ongoing)"
"402","verb","оставить","leave behind"
"403","verb","войти","enter (once)"
"404","adj.","длинный","long (in length)"
"405","noun","чувство","feeling"
"406","verb","молчать","be silent"
"407","verb","рассказывать","tell (ongoing)"
"408","verb","отвечать","answer (in general)"
"409","verb","становиться","become (becoming)"
"410","verb","остановиться","stop oneself"
"411","noun","берег","shore"
"412","noun","семья","family"
"413","verb","искать","search (ongoing)"
"414","noun","генерал","general"
"415","noun","момент","moment"
"416","num.","десять","ten"
"417","verb","начать","start immediately"
"418","adj.","следующий","next (following)"
"419","adj.","личный","personal"
"420","noun","труд","work (labor)"
"421","verb","верить","believe (continuously)"
"422","noun","группа","group"
"423","adv.","немного","a little"
"424","","впрочем","however (by the way)"
"425","","видно","apparently"
"426","verb","являться","be (become)"
"427","noun","муж","husband"
"428","","разве","is it?"
"429","noun","движение","movement (movement, motion)"
"430","noun","порядок","order"
"431","noun","ответ","answer"
"432","adv.","тихо","quietly (quiet)"
"433","adj.","знакомый","well-known, familiar"
"434","noun","газета","newspaper"
"435","noun","помощь","help"
"436","adj.","сильный","strong (powerful)"
"437","adj.","скорый","quick"
"438","noun","собака","dog"
"439","noun","дерево","tree"
"440","noun","снег","snow"
"441","noun","сон","dream (as in sleep)"
"442","noun","смысл","meaning"
"443","verb","смочь","manage to, be able to"
"444","","против","against"
"445","verb","бежать","run (flee)"
"446","noun","двор","yard"
"447","noun","форма","form"
"448","adj.","простой","simple"
"449","verb","приехать","arrive (arrive at)"
"450","","иной","another"
"451","verb","кричать","shout repeatedly"
"452","noun","возможность","possibility"
"453","noun","общество","society"
"454","adj.","зелёный","green"
"455","noun","грудь","chest"
"456","noun","угол","corner"
"457","verb","открыть","open (once)"
"458","verb","происходить","occur (general)"
"459","adv.","ладно","okay"
"460","noun","черный","black"
"461","noun","век","century"
"462","noun","карман","pocket"
"463","verb","ехать","go (go by vehicle)"
"464","noun","немец","German (person)"
"465","adv.","наверное","probably (most likely)"
"466","noun","губа","lip"
"467","noun","дядя","uncle"
"468","verb","приходить","come (regularly)"
"469","adv.","часто","often (frequently)"
"470","adv.","домой","home"
"471","noun","огонь","fire"
"472","noun","писатель","writer"
"473","noun","армия","army"
"474","noun","состояние","state (condition, status)"
"475","noun","зуб","tooth"
"476","noun","очередь","line"
"477","","кой","who (archaic)"
"478","verb","подняться","rise"
"479","noun","камень","stone"
"480","noun","гость","guest"
"481","verb","показаться","seem to appear"
"482","noun","ветер","wind"
"483","verb","собираться","plan"
"484","verb","попасть","get (get into)"
"485","verb","принять","accept (completed action)"
"486","adv.","сначала","first"
"487","","либо","either"
"488","verb","поехать","go (start going by vehicle)"
"489","verb","услышать","hear (action completed)"
"490","verb","уметь","know how to, be skilled"
"491","verb","случиться","occur (completed action)"
"492","adj.","странный","strange"
"493","adj.","единственный","only"
"494","noun","рота","platoon"
"495","noun","закон","law"
"496","adj.","короткий","short"
"497","adv.","коротко","briefly"
"498","noun","море","sea"
"499","adj.","добрый","kind"
"500","adj.","темный","dark"
"501","noun","гора","mountain"
"502","noun","врач","doctor"
"503","noun","край","edge"
"504","verb","стараться","try hard (ongoing)"
"505","adj.","лучший","best"
"506","noun","река","river"
"507","noun","военный","military"
"508","adj.","военный","military (armed forces)"
"509","noun","мера","measure"
"510","adj.","страшный","scary"
"511","adv.","вполне","quite (completely)"
"512","verb","звать","invite, call"
"513","verb","произойти","take place"
"514","","вперед","forward"
"515","adv.","медленно","slowly"
"516","adj.","медленный","slow"
"517","","возле","near (close to)"
"518","adv.","никак","in no way"
"519","verb","заниматься","deal with"
"520","noun","действие","act (action or operation)"
"521","adv.","довольно","quite (sufficiently)"
"522","noun","вещь","thing"
"523","adj.","необходимый","necessary (essential)"
"524","noun","ход","movement (course, progress)"
"525","noun","боль","pain"
"526","noun","судьба","fate"
"527","noun","причина","cause"
"528","verb","положить","put (lay down)"
"529","adv.","едва","just barely"
"530","noun","черта","feature"
"531","noun","девочка","girl (younger)"
"532","adj.","лёгкий","light (not heavy)"
"533","adv.","легко","easily"
"534","noun","волос","hair"
"535","verb","купить","buy (completed action)"
"536","noun","номер","number"
"537","adj.","основной","fundamental, main"
"538","adj.","широкий","wide"
"539","verb","умереть","die (die)"
"540","adv.","плохо","badly"
"541","noun","глава","chapter"
"542","adj.","красивый","attractive in appearance"
"543","adj.","серый","gray"
"544","verb","пить","drink (general term)"
"545","noun","командир","commander"
"546","adv.","обычно","usually"
"547","noun","партия","party"
"548","noun","проблема","problem"
"549","noun","страх","fear"
"550","verb","проходить","pass (regularly)"
"551","adv.","ясно","clear (explicit)"
"552","verb","снять","remove (take off)"
"553","noun","бумага","paper"
"554","noun","герой","hero"
"555","noun","пара","couple"
"556","noun","государство","state (state, nation)"
"557","noun","деревня","village"
"558","noun","речь","speech"
"559","verb","начаться","begin (one-time event)"
"560","noun","средство","means"
"561","noun","положение","position"
"562","noun","связь","relation"
"563","adv.","скоро","soon (quickly)"
"564","adj.","небольшой","small (not big)"
"565","verb","представлять","imagine (continuously)"
"566","adv.","завтра","tomorrow"
"567","verb","объяснить","explain (once)"
"568","adj.","пустой","empty"
"569","verb","произнести","pronounce (once)"
"570","adj.","человеческий","human (pertaining to mankind)"
"571","verb","нравиться","like (continuous)"
"572","adv.","однажды","once"
"573","","мимо","past"
"574","adv.","иначе","differently"
"575","verb","существовать","exist (general)"
"576","noun","класс","class"
"577","verb","удаться","succeed (succeed)"
"578","adj.","толстый","thick"
"579","noun","цель","goal"
"580","","сквозь","through (penetrating)"
"581","verb","прийтись","be required (situational)"
"582","adj.","чистый","clean"
"583","noun","знать","know"
"584","adj.","прежний","former (previous)"
"585","noun","профессор","professor"
"586","noun","господин","sir, Mr."
"587","noun","счастье","happiness"
"588","adj.","худой","thin (skinny)"
"589","noun","дух","spirit"
"590","noun","план","plan"
"591","adj.","чужой","foreign (strange)"
"592","noun","зал","hall"
"593","verb","представить","imagine (once)"
"594","adj.","особый","special (distinct)"
"595","noun","директор","director"
"596","adj.","бывший","ex-, former"
"597","noun","память","memory"
"598","adj.","близкий","close"
"599","","сей","this (old usage)"
"600","noun","результат","result"
"601","noun","больной","sick person"
"602","adj.","больной","sick"
"603","adj.","данный","given"
"604","adv.","кстати","by the way"
"605","verb","назвать","call once"
"606","noun","след","trace"
"607","verb","улыбаться","smile (continuously)"
"608","noun","бутылка","bottle"
"609","adv.","трудно","difficult"
"610","noun","условие","condition"
"611","","прежде","before (prior)"
"612","noun","ум","mind"
"613","verb","улыбнуться","smile (once)"
"614","noun","процесс","process"
"615","noun","картина","painting"
"616","","вместо","instead of"
"617","adj.","старший","senior"
"618","noun","центр","center"
"619","adj.","подобный","similar (alike)"
"620","adv.","возможно","possibly"
"621","adj.","возможный","possible"
"622","","около","around (near)"
"623","verb","смеяться","laugh (be laughing)"
"624","num.","сто","hundred"
"625","noun","будущее","future"
"626","verb","хватать","grab (be grabbing)"
"627","noun","число","number (figure)"
"628","","всякое","any (various)"
"629","noun","рубль","ruble"
"630","verb","почувствовать","feel momentarily"
"631","verb","принести","bring here"
"632","noun","вера","faith"
"633","adv.","вовсе","at all (absolutely)"
"634","noun","удар","strike"
"635","noun","телефон","phone"
"636","noun","колено","knee"
"637","verb","согласиться","agree (once)"
"638","noun","коридор","corridor"
"639","noun","мужик","guy, man"
"640","adj.","правый","right"
"641","noun","автор","author"
"642","adv.","холодно","cold"
"643","adj.","холодный","cold"
"644","verb","хватить","be enough"
"645","","многие","many"
"646","noun","встреча","meeting (meeting, encounter)"
"647","noun","кабинет","office"
"648","noun","документ","document"
"649","noun","самолет","airplane"
"650","adv.","вниз","down"
"651","verb","принимать","accept (ongoing action)"
"652","noun","игра","game"
"653","noun","рассказ","story"
"654","noun","хлеб","bread"
"655","noun","развитие","development"
"656","verb","убить","kill (one-time)"
"657","adj.","родной","native (by birth)"
"658","adv.","открыто","openly"
"659","adj.","открытый","open"
"660","adv.","менее","less"
"661","verb","предложить","suggest (propose)"
"662","adj.","желтый","yellow"
"663","verb","приходиться","be required generally"
"664","verb","выпить","drink (all at once)"
