"id","part_of_speech","definition","answer"
"1001","adj.","wet","мокрый"
"1002","noun","order (command, directive)","приказ"
"1003","adj.","straight","прямой"
"1004","verb","start shouting","закричать"
"1005","verb","end (end)","кончиться"
"1006","noun","bush","куст"
"1007","verb","shoot (fire)","стрелять"
"1008","noun","painter","художник"
"1009","noun","sign","знак"
"1010","noun","factory (industrial plant)","завод"
"1011","noun","fist","кулак"
"1012","verb","use (once)","использовать"
"1013","noun","glass (drinking glass)","стакан"
"1014","verb","smell","пахнуть"
"1015","adv.","from here","отсюда"
"1016","noun","mouth","рот"
"1017","adv.","time","пора"
"1018","verb","pass on","передать"
"1019","noun","treatment","лечение"
"1020","adj.","highest","высший"
"1021","noun","day (24 hours)","сутки"
"1022","verb","get up","вставать"
"1023","noun","operation","операция"
"1024","noun","space","пространство"
"1025","adj.","calm","спокойный"
"1026","noun","clothing","одежда"
"1027","noun","piece","кусок"
"1028","noun","theme","тема"
"1029","adj.","animal","животный"
"1030","verb","remove (unload)","снимать"
"1031","noun","art","искусство"
"1032","adj.","smart","умный"
"1033","adj.","small (less in size)","малый"
"1034","noun","course (study)","курс"
"1035","verb","be calling","звонить"
"1036","adj.","next (in line)","очередной"
"1037","noun","miracle","чудо"
"1038","noun","sensation","ощущение"
"1039","adv.","extremely (to a great degree)","крайне"
"1040","adj.","extreme","крайний"
"1041","verb","remind (continually)","напоминать"
"1042","verb","come up with","придумать"
"1043","verb","fall (ongoing process)","падать"
"1044","noun","building","здание"
"1045","adj.","fresh","свежий"
"1046","verb","talk (once)","поговорить"
"1047","verb","begin (ongoing process)","начинаться"
"1048","noun","police (obsolete term)","милиция"
"1049","verb","order (command)","приказать"
"1050","","despite (in spite of)","несмотря"
"1051","adv.","from there","оттуда"
"1052","verb","laugh (start laughing)","засмеяться"
"1053","noun","wave","волна"
"1054","noun","task","задача"
"1055","verb","touch (touch lightly)","касаться"
"1056","noun","old woman (disrespectful)","старуха"
"1057","noun","troops","войско"
"1058","noun","term","срок"
"1059","noun","horror","ужас"
"1060","adj.","narrow","узкий"
"1061","noun","material","материал"
"1062","verb","begin earnestly","приняться"
"1063","adv.","normal","нормально"
"1064","adj.","normal","нормальный"
"1065","noun","scream","крик"
"1066","noun","knowledge","знание"
"1067","num.","three (people)","трое"
"1068","num.","fourth","четвёртый"
"1069","noun","noise","шум"
"1070","verb","make (force to do)","заставить"
"1071","noun","gun","автомат"
"1072","adv.","sharply (sudden)","резко"
"1073","noun","aunt","тетя"
"1074","noun","impression","впечатление"
"1075","noun","pause","пауза"
"1076","noun","depth","глубина"
"1077","noun","dollar","доллар"
"1078","noun","hundred","сотня"
"1079","adv.","guilty","виновато"
"1080","adj.","guilty","виноватый"
"1081","noun","student","студент"
"1082","adj.","combat","боевой"
"1083","noun","point (score)","очко"
"1084","noun","knife","нож"
"1085","verb","go up","подниматься"
"1086","adj.","global","мировой"
"1087","noun","object","предмет"
"1088","adj.","bad (inferior)","плохой"
"1089","noun","major","майор"
"1090","verb","hit","ударить"
"1091","verb","understand (be understood)","разуметься"
"1092","adj.","precise","точный"
"1093","","any (each)","всякий"
"1094","noun","activity","деятельность"
"1095","noun","engineer","инженер"
"1096","noun","program","программа"
"1097","noun","suit","костюм"
"1098","adj.","female","женский"
"1099","adj.","strong (sturdy)","крепкий"
"1100","adv.","firmly (strong)","крепко"
"1101","noun","theater","театр"
"1102","verb","meet frequently","встречаться"
"1103","adj.","different (distinct)","различный"
"1104","noun","tail","хвост"
"1105","noun","tank (military)","танк"
"1106","adj.","social","социальный"
"1107","noun","dead","мёртвый"
"1108","adj.","dead","мёртвый"
"1109","verb","try (attempt)","попытаться"
"1110","adv.","clearly (obvious)","явно"
"1111","noun","magazine","журнал"
"1112","noun","horse (colloquial)","конь"
"1113","verb","grab (grab abruptly)","схватить"
"1114","","along","вдоль"
"1115","noun","poetry","стихи"
"1116","noun","degree (as in academic)","степень"
"1117","verb","refuse (firmly)","отказаться"
"1118","verb","pull out (once)","вытащить"
"1119","verb","suggest (propose regularly)","предлагать"
"1120","noun","figure","фигура"
"1121","noun","key","ключ"
"1122","noun","devil (casual)","черт"
"1123","verb","set off (once)","отправиться"
"1124","verb","run (start running)","побежать"
"1125","noun","wagon","вагон"
"1126","noun","culture","культура"
"1127","verb","smoke (repeatedly)","курить"
"1128","noun","fighter","боец"
"1129","adj.","western","западный"
"1130","noun","film","фильм"
"1131","num.","eight","восемь"
"1132","verb","open (repeatedly)","открывать"
"1133","verb","come in (one-time entry)","зайти"
"1134","adv.","immediately (instantly)","немедленно"
"1135","verb","notice (continually)","замечать"
"1136","noun","dust","пыль"
"1137","verb","finish (complete)","закончить"
"1138","adj.","soft","мягкий"
"1139","adv.","gently (soft)","мягко"
"1140","noun","trumpet","труба"
"1141","adj.","rare","редкий"
"1142","num.","million","миллион"
"1143","verb","watch, follow","следить"
"1144","noun","mass","масса"
"1145","num.","fifty","пятьдесят"
"1146","noun","circumstance","обстоятельство"
"1147","","any (all sorts)","всякий"
"1148","adv.","simultaneously","одновременно"
"1149","verb","rush forward","броситься"
"1150","adv.","gone","пошло"
"1151","adj.","vulgar","пошлый"
"1152","adj.","round","круглый"
"1153","noun","staff","штаб"
"1154","noun","hearing","слух"
"1155","adj.","naked","голый"
"1156","verb","close (completed action)","закрыть"
"1157","noun","line (line in drawing etc.)","линия"
"1158","noun","boat","лодка"
"1159","adv.","on the contrary","наоборот"
"1160","noun","distance (in general)","даль"
"1161","noun","chairman","председатель"
"1162","verb","like (instant)","понравиться"
"1163","verb","address, turn to","обратиться"
"1164","noun","period","период"
"1165","noun","organism","организм"
