"no","part_of_speech","definition","answer"
"1","verb","описывать","describe (ongoing process)"
"2","noun","баран","sheep"
"3","adj.","безумный","mad"
"4","verb","ведать","know (archaic, old-fashioned)"
"5","noun","Япония","Japan"
"6","adj.","пустынный","deserted"
"7","noun","специальность","specialty"
"8","noun","походка","walk (manner of walking)"
"9","verb","увезти","take away (transport away)"
"10","verb","приветствовать","welcome"
"11","noun","оборот","turnover"
"12","noun","бульвар","boulevard"
"13","noun","скамья","bench (can also mean a jury)"
"14","adj.","презрительный","contemptuous"
"15","noun","буфет","buffet"
"16","adj.","итальянский","Italian"
"17","adj.","бумажный","paper"
"18","verb","опираться","rely (one-time)"
"19","noun","серия","series"
"20","noun","неожиданность","surprise (unexpected event)"
"21","noun","купол","cupola"
"22","verb","наказать","punish"
"23","adj.","развитый","developed"
"24","noun","копия","copy"
"25","adj.","научно","scientifically"
"26","noun","тропинка","path (smaller"
"27","noun","рама","frame (chassis, skeleton)"
"28","verb","упомянуть","mention"
"29","verb","вздрагивать","startle (ongoing)"
"30","noun","расположение","location"
"31","noun","приглашение","invitation"
"32","noun","башка","head (informal, colloquial)"
"33","noun","буря","storm"
"34","noun","пионер","pioneer"
"35","adv.","сухо","dryly"
"36","adj.","неясный","unclear"
"37","noun","философия","philosophy"
"38","noun","шерсть","wool"
"39","noun","приговор","sentence (verdict)"
"40","num.","двадцатый","twentieth"
"41","noun","фюрер","Führer"
"42","noun","ягода","berry"
"43","noun","ограда","fence (fence, barrier)"
"44","num.","восемьдесят","eighty"
"45","verb","выделяться","stand out"
"46","noun","фокус","illusion"
"47","noun","тонна","ton"
"48","noun","материя","matter (physical)"
"49","","поперёк","across"
"50","noun","мышь","mouse (mouse, rodent)"
"51","verb","скрипеть","squeak"
"52","verb","кушать","eat (informal)"
"53","adj.","нищий","poor (destitute)"
"54","adj.","невозможный","impossible"
"55","verb","общаться","communicate"
"56","noun","побег","escape"
"57","adj.","лунный","lunar"
"58","noun","учение","study"
"59","adj.","солидный","solid (respectable)"
"60","num.","шестнадцать","sixteen"
"61","verb","чувствоваться","feel oneself"
"62","","тьфу","shame"
"63","verb","почитать","read (read for a bit)"
"64","noun","размышление","contemplation"
"65","adv.","одинаково","equally (the same)"
"66","noun","ступень","step (stage in a process)"
"67","verb","расставить","arrange (put in order)"
"68","noun","мадам","madam"
"69","noun","зрелище","spectacle"
"70","noun","досада","annoyance"
"71","noun","трасса","highway (route, track)"
"72","verb","направляться","head (direction)"
"73","adj.","учебный","educational"
"74","adj.","существующий","existing"
"75","adj.","идеальный","ideal"
"76","adj.","жидкий","liquid"
"77","verb","буркнуть","mutter"
"78","verb","столкнуться","collide"
"79","noun","учебник","textbook"
"80","noun","идеология","ideology"
"81","verb","уговаривать","persuade (repeatedly)"
"82","adj.","комсомольский","Komsomol"
"83","adj.","подозрительный","suspicious"
"84","verb","прикрывать","cover (cover regularly)"
"85","noun","смесь","mixture"
"86","adj.","электронный","electronic"
"87","verb","различать","distinguish"
"88","noun","граната","granade"
"89","adj.","беспомощный","helpless"
"90","noun","упор","effort (strong)"
"91","verb","обходить","bypass (ongoing action)"
"92","noun","котёнок","kitten"
"93","adj.","эффективный","efficient"
"94","adv.","ежедневно","daily"
"95","adj.","очевидный","obvious"
"96","adj.","наивный","naive"
"97","noun","порошок","powder"
"98","verb","поворачивать","be turning"
"99","verb","утратить","lose (formally)"
"100","adj.","польский","Polish"
"101","noun","кол","axle"
"102","adj.","оранжевый","orange"
"103","adj.","интеллектуальный","intellectual"
"104","noun","голубчик","lad (affectionate term)"
"105","verb","удержать","hold (back emotion)"
"106","adj.","промышленный","industrial (manufacturing)"
"107","noun","седло","saddle"
"108","verb","склониться","lean (repeatedly)"
"109","noun","формула","formula"
"110","verb","отступить","retreat (once)"
"111","noun","эмоция","emotion"
"112","noun","тройка","troika"
"113","noun","посольство","embassy"
"114","verb","длиться","last"
"115","noun","вздох","sigh"
"116","noun","командование","command"
"117","adj.","эмоциональный","emotional"
"118","noun","окурок","cigarette butt"
"119","adj.","непосредственный","immediate"
"120","adj.","лагерный","campy"
"121","adj.","сонный","sleepy"
"122","verb","переспросить","ask again"
"123","noun","мяч","ball (for games)"
"124","verb","швырнуть","fling something"
"125","noun","философ","philosopher"
"126","verb","вмешаться","interfere"
"127","adj.","отрицательный","negative"
"128","noun","расстройство","disorder"
"129","verb","деться","squeeze in"
"130","noun","аэродром","aerodrome"
"131","noun","закат","sunset"
"132","verb","добиваться","strive to achieve"
"133","verb","напиться","get drunk"
"134","verb","лопнуть","burst (unexpectedly)"
"135","noun","дерьмо","shit"
"136","noun","разряд","discharge"
"137","noun","головка","head (small head)"
"138","adj.","свойственный","inherent"
"139","verb","упустить","drop, miss"
"140","verb","подъехать","drive up, approach"
"141","noun","объявление","announcement"
"142","noun","десятилетие","decade"
"143","noun","каблук","heel (of a shoe)"
"144","adj.","бурный","turbulent"
"145","verb","слушаться","obey"
"146","verb","пропускать","skip"
"147","adv.","равнодушно","indifferently"
"148","adj.","равнодушный","indifferent"
"149","adj.","своеобразный","idiosyncratic"
"150","noun","выполнение","execution (as in completion)"
"151","verb","забирать","take back"
"152","noun","пейзаж","landscape"
"153","verb","реагировать","react"
"154","noun","поэзия","poetry (the art form)"
"155","verb","гладить","stroke (ongoing)"
"156","noun","терпение","patience"
"157","noun","порода","breed"
"158","noun","занавеска","curtain"
"159","verb","отвезти","take (somewhere, once)"
"160","noun","корзина","basket"
"161","noun","огурец","cucumber"
"162","adj.","корейский","Korean"
"163","noun","пацан","lad (colloquial)"
"164","verb","обманывать","deceive (ongoing process)"
"165","noun","кузов","car body"
"166","verb","уронить","drop (accidentally)"
"167","noun","партнер","partner"
"168","adj.","религиозный","religious"
"169","noun","вой","war (archaic)"
"170","noun","шлем","helmet"
"171","verb","шепнуть","whisper (whisper once)"
"172","adj.","выраженный","expressed"
"173","adj.","обречённый","doomed"
"174","noun","конференция","conference"
"175","noun","продавец","salesman"
"176","noun","гнездо","nest"
"177","noun","казак","Cossack"
"178","noun","доза","dose"
"179","verb","вылезать","climb out (struggle)"
"180","verb","приоткрыть","crack open"
"181","noun","одиночка","lone"
"182","noun","плёнка","film (as in roll of film)"
"183","noun","пруд","pond"
"184","verb","добыть","obtain (once)"
"185","verb","давить","press (press heavily)"
"186","verb","рождаться","be born (ongoing process)"
"187","adv.","повсюду","everywhere (ubiquitously)"
"188","verb","сохранять","preserve (repeatedly)"
"189","noun","простор","space (open space, expanse)"
"190","noun","чепуха","nonsense (nonsense words)"
"191","noun","блокнот","notebook (pad)"
"192","noun","лозунг","slogan"
"193","noun","неудача","failure"
"194","noun","покойник","deceased"
"195","noun","веко","eyelid"
"196","noun","Эстония","Estonia"
"197","adv.","вправо","to the right (rightwards)"
"198","noun","сезон","season"
"199","verb","основать","found"
"200","adj.","крошечный","tiny (minute)"
"201","verb","замёрзнуть","freeze from cold"
"202","noun","милость","mercy"
"203","noun","снимок","snapshot"
"204","noun","священник","priest (clergyman)"
"205","noun","обитатель","inhabitant"
"206","verb","сопровождаться","be accompanied"
"207","adj.","парадный","parade"
"208","verb","подсказать","suggest (hint)"
"209","verb","покачиваться","sway (continuous)"
"210","noun","интонация","intonation"
"211","verb","запеть","sing (once)"
"212","verb","разорвать","rupture, tear"
"213","noun","отверстие","hole (opening)"
"214","verb","метаться","toss"
"215","verb","заботиться","take care"
