"id","part_of_speech","definition","answer"
"1","verb","describe (ongoing process)","описывать"
"2","noun","sheep","баран"
"3","adj.","mad","безумный"
"4","verb","know (archaic, old-fashioned)","ведать"
"5","noun","Japan","Япония"
"6","adj.","deserted","пустынный"
"7","noun","specialty","специальность"
"8","noun","walk (manner of walking)","походка"
"9","verb","take away (transport away)","увезти"
"10","verb","welcome","приветствовать"
"11","noun","turnover","оборот"
"12","noun","boulevard","бульвар"
"13","noun","bench (can also mean a jury)","скамья"
"14","adj.","contemptuous","презрительный"
"15","noun","buffet","буфет"
"16","adj.","Italian","итальянский"
"17","adj.","paper","бумажный"
"18","verb","rely (one-time)","опираться"
"19","noun","series","серия"
"20","noun","surprise (unexpected event)","неожиданность"
"21","noun","cupola","купол"
"22","verb","punish","наказать"
"23","adj.","developed","развитый"
"24","noun","copy","копия"
"25","adj.","scientifically","научно"
"26","noun","path (smaller","тропинка"
"27","noun","frame (chassis, skeleton)","рама"
"28","verb","mention","упомянуть"
"29","verb","startle (ongoing)","вздрагивать"
"30","noun","location","расположение"
"31","noun","invitation","приглашение"
"32","noun","head (informal, colloquial)","башка"
"33","noun","storm","буря"
"34","noun","pioneer","пионер"
"35","adv.","dryly","сухо"
"36","adj.","unclear","неясный"
"37","noun","philosophy","философия"
"38","noun","wool","шерсть"
"39","noun","sentence (verdict)","приговор"
"40","num.","twentieth","двадцатый"
"41","noun","Führer","фюрер"
"42","noun","berry","ягода"
"43","noun","fence (fence, barrier)","ограда"
"44","num.","eighty","восемьдесят"
"45","verb","stand out","выделяться"
"46","noun","illusion","фокус"
"47","noun","ton","тонна"
"48","noun","matter (physical)","материя"
"49","","across","поперёк"
"50","noun","mouse (mouse, rodent)","мышь"
"51","verb","squeak","скрипеть"
"52","verb","eat (informal)","кушать"
"53","adj.","poor (destitute)","нищий"
"54","adj.","impossible","невозможный"
"55","verb","communicate","общаться"
"56","noun","escape","побег"
"57","adj.","lunar","лунный"
"58","noun","study","учение"
"59","adj.","solid (respectable)","солидный"
"60","num.","sixteen","шестнадцать"
"61","verb","feel oneself","чувствоваться"
"62","","shame","тьфу"
"63","verb","read (read for a bit)","почитать"
"64","noun","contemplation","размышление"
"65","adv.","equally (the same)","одинаково"
"66","noun","step (stage in a process)","ступень"
"67","verb","arrange (put in order)","расставить"
"68","noun","madam","мадам"
"69","noun","spectacle","зрелище"
"70","noun","annoyance","досада"
"71","noun","highway (route, track)","трасса"
"72","verb","head (direction)","направляться"
"73","adj.","educational","учебный"
"74","adj.","existing","существующий"
"75","adj.","ideal","идеальный"
"76","adj.","liquid","жидкий"
"77","verb","mutter","буркнуть"
"78","verb","collide","столкнуться"
"79","noun","textbook","учебник"
"80","noun","ideology","идеология"
"81","verb","persuade (repeatedly)","уговаривать"
"82","adj.","Komsomol","комсомольский"
"83","adj.","suspicious","подозрительный"
"84","verb","cover (cover regularly)","прикрывать"
"85","noun","mixture","смесь"
"86","adj.","electronic","электронный"
"87","verb","distinguish","различать"
"88","noun","granade","граната"
"89","adj.","helpless","беспомощный"
"90","noun","effort (strong)","упор"
"91","verb","bypass (ongoing action)","обходить"
"92","noun","kitten","котёнок"
"93","adj.","efficient","эффективный"
"94","adv.","daily","ежедневно"
"95","adj.","obvious","очевидный"
"96","adj.","naive","наивный"
"97","noun","powder","порошок"
"98","verb","be turning","поворачивать"
"99","verb","lose (formally)","утратить"
"100","adj.","Polish","польский"
"101","noun","axle","кол"
"102","adj.","orange","оранжевый"
"103","adj.","intellectual","интеллектуальный"
"104","noun","lad (affectionate term)","голубчик"
"105","verb","hold (back emotion)","удержать"
"106","adj.","industrial (manufacturing)","промышленный"
"107","noun","saddle","седло"
"108","verb","lean (repeatedly)","склониться"
"109","noun","formula","формула"
"110","verb","retreat (once)","отступить"
"111","noun","emotion","эмоция"
"112","noun","troika","тройка"
"113","noun","embassy","посольство"
"114","verb","last","длиться"
"115","noun","sigh","вздох"
"116","noun","command","командование"
"117","adj.","emotional","эмоциональный"
"118","noun","cigarette butt","окурок"
"119","adj.","immediate","непосредственный"
"120","adj.","campy","лагерный"
"121","adj.","sleepy","сонный"
"122","verb","ask again","переспросить"
"123","noun","ball (for games)","мяч"
"124","verb","fling something","швырнуть"
"125","noun","philosopher","философ"
"126","verb","interfere","вмешаться"
"127","adj.","negative","отрицательный"
"128","noun","disorder","расстройство"
"129","verb","squeeze in","деться"
"130","noun","aerodrome","аэродром"
"131","noun","sunset","закат"
"132","verb","strive to achieve","добиваться"
"133","verb","get drunk","напиться"
"134","verb","burst (unexpectedly)","лопнуть"
"135","noun","shit","дерьмо"
"136","noun","discharge","разряд"
"137","noun","head (small head)","головка"
"138","adj.","inherent","свойственный"
"139","verb","drop, miss","упустить"
"140","verb","drive up, approach","подъехать"
"141","noun","announcement","объявление"
"142","noun","decade","десятилетие"
"143","noun","heel (of a shoe)","каблук"
"144","adj.","turbulent","бурный"
"145","verb","obey","слушаться"
"146","verb","skip","пропускать"
"147","adv.","indifferently","равнодушно"
"148","adj.","indifferent","равнодушный"
"149","adj.","idiosyncratic","своеобразный"
"150","noun","execution (as in completion)","выполнение"
"151","verb","take back","забирать"
"152","noun","landscape","пейзаж"
"153","verb","react","реагировать"
"154","noun","poetry (the art form)","поэзия"
"155","verb","stroke (ongoing)","гладить"
"156","noun","patience","терпение"
"157","noun","breed","порода"
"158","noun","curtain","занавеска"
"159","verb","take (somewhere, once)","отвезти"
"160","noun","basket","корзина"
"161","noun","cucumber","огурец"
"162","adj.","Korean","корейский"
"163","noun","lad (colloquial)","пацан"
"164","verb","deceive (ongoing process)","обманывать"
"165","noun","car body","кузов"
"166","verb","drop (accidentally)","уронить"
"167","noun","partner","партнер"
"168","adj.","religious","религиозный"
"169","noun","war (archaic)","вой"
"170","noun","helmet","шлем"
"171","verb","whisper (whisper once)","шепнуть"
"172","adj.","expressed","выраженный"
"173","adj.","doomed","обречённый"
"174","noun","conference","конференция"
"175","noun","salesman","продавец"
"176","noun","nest","гнездо"
"177","noun","Cossack","казак"
"178","noun","dose","доза"
"179","verb","climb out (struggle)","вылезать"
"180","verb","crack open","приоткрыть"
"181","noun","lone","одиночка"
"182","noun","film (as in roll of film)","плёнка"
"183","noun","pond","пруд"
"184","verb","obtain (once)","добыть"
"185","verb","press (press heavily)","давить"
"186","verb","be born (ongoing process)","рождаться"
"187","adv.","everywhere (ubiquitously)","повсюду"
"188","verb","preserve (repeatedly)","сохранять"
"189","noun","space (open space, expanse)","простор"
"190","noun","nonsense (nonsense words)","чепуха"
"191","noun","notebook (pad)","блокнот"
"192","noun","slogan","лозунг"
"193","noun","failure","неудача"
"194","noun","deceased","покойник"
"195","noun","eyelid","веко"
"196","noun","Estonia","Эстония"
"197","adv.","to the right (rightwards)","вправо"
"198","noun","season","сезон"
"199","verb","found","основать"
"200","adj.","tiny (minute)","крошечный"
"201","verb","freeze from cold","замёрзнуть"
"202","noun","mercy","милость"
"203","noun","snapshot","снимок"
"204","noun","priest (clergyman)","священник"
"205","noun","inhabitant","обитатель"
"206","verb","be accompanied","сопровождаться"
"207","adj.","parade","парадный"
"208","verb","suggest (hint)","подсказать"
"209","verb","sway (continuous)","покачиваться"
"210","noun","intonation","интонация"
"211","verb","sing (once)","запеть"
"212","verb","rupture, tear","разорвать"
"213","noun","hole (opening)","отверстие"
"214","verb","toss","метаться"
"215","verb","take care","заботиться"
"216","verb","diverge","расходиться"
"217","adj.","mandatory","обязательный"
"218","adv.","intently","пристально"
"219","verb","conceive","задумать"
"220","noun","set","набор"
"221","noun","malice","злоба"
"222","noun","Odessa","Одесса"
"223","noun","pill","таблетка"
"224","adj.","milky","молочный"
"225","verb","dismiss","уволить"
"226","verb","search (one-time)","поискать"
"227","noun","robber","разбойник"
"228","noun","existence (everyday life)","быт"
"229","verb","explain oneself","объясняться"
"230","noun","figure (small","фигурка"
"231","verb","discard","отбросить"
"232","noun","cleanliness","чистота"
"233","verb","be stored","храниться"
"234","adj.","educated","образованный"
"235","noun","dancer","танцор"
"236","noun","hoof","копыто"
"237","noun","assertion","утверждение"
"238","adj.","monetary","денежный"
"239","noun","competition","конкурс"
"240","noun","thrust","толчок"
"241","verb","lead away (general direction)","увести"
"242","verb","take (somewhere, ongoing)","сводить"
"243","noun","birch tree","берёза"
"244","verb","acquire (ongoing action)","приобретать"
"245","verb","retire from place","удалиться"
"246","noun","priest (Orthodox priests)","батюшка"
"247","verb","flare up (recurring)","вспыхивать"
"248","adv.","successfully","благополучно"
"249","noun","serpent","змей"
"250","adj.","skinny","тощий"
"251","verb","frown (sudden action)","нахмуриться"
"252","adj.","accessible","доступный"
"253","noun","salon","салон"
"254","verb","pour (keep filling)","наливать"
"255","noun","tank (container)","бак"
"256","noun","centimeter","сантиметр"
"257","noun","secretary (female)","секретарша"
"258","adj.","past (elapsed)","прошедший"
"259","noun","sadness","печаль"
"260","verb","confirm (repeated)","подтверждать"
"261","noun","gram","грамм"
"262","noun","abyss","пропасть"
"263","noun","pilot (more universal term)","пилот"
"264","verb","attract (ongoing action)","привлекать"
"265","noun","belly","брюхо"
"266","noun","seed","семя"
"267","adj.","sober","трезвый"
"268","noun","stripe (small)","полоска"
"269","noun","worker (worker, laborer)","рабочий"
"270","verb","climb (completed action)","залезть"
"271","noun","assumption","предположение"
"272","noun","capitalism","капитализм"
"273","adv.","empty","пусто"
"274","verb","beg","умолять"
"275","verb","bring closer","поднести"
"276","noun","buyer","покупатель"
"277","verb","live (temporarily)","пожить"
"278","adv.","doesn't matter","неважно"
"279","verb","discard (once)","выкинуть"
"280","verb","deduce","выводить"
"281","verb","surrender (yield)","податься"
"282","verb","clean (specific item)","чистить"
"283","noun","carriage","телега"
"284","noun","degree (as in temperature)","градус"
"285","adj.","sparkling","сверкающий"
"286","verb","pursue","преследовать"
"287","noun","complication","осложнение"
"288","adv.","far away","вдали"
"289","adj.","vividly colorful","пёстрый"
"290","adj.","fair","справедливый"
"291","verb","respond (repeatedly)","откликнуться"
"292","adj.","clear (definite)","чёткий"
"293","noun","mosquito","комар"
"294","verb","joke (one-time)","пошутить"
"295","adj.","military (related to war)","военно-"
"296","verb","live (reside)","проживать"
"297","verb","post","выложить"
"298","noun","flag (flag, ensign)","флаг"
"299","noun","pot","кастрюля"
"300","adj.","dull (boring)","скучный"
"301","noun","news (report)","известие"
"302","adv.","patiently","терпеливо"
"303","noun","rider","всадник"
"304","verb","climb (struggle)","забраться"
"305","verb","resist (continuous)","упираться"
"306","verb","recognize","узнавать"
"307","verb","stand (stand for a while)","постоять"
"308","adv.","really (in truth)","вправду"
"309","noun","pavement","мостовая"
"310","num.","billion","миллиард"
"311","adv.","to the left (turn left)","влево"
"312","verb","take off","взлететь"
"313","noun","fright","испуг"
"314","num.","eighteen","восемнадцать"
"315","noun","overgrowth","заросль"
"316","noun","barrier","барьер"
"317","noun","hole (small hole)","дырка"
"318","noun","mother (affectionate term)","матушка"
"319","verb","lose (a game)","проиграть"
"320","verb","frown (expressing discomfort)","поморщиться"
"321","adj.","vague","смутный"
"322","adv.","through","насквозь"
"323","adv.","entirely","целиком"
"324","adj.","atomic","атомный"
"325","noun","existence (philosophical term)","бытие"
"326","verb","wave (wave about)","размахивать"
"327","noun","caviar","икра"
"328","noun","historian","историк"
"329","verb","exist (specific, less formal)","водиться"
"330","verb","submit","подчиняться"
"331","noun","goat (female)","коза"
"332","noun","wisp","дымок"
"333","noun","scream (screech)","визг"
"334","noun","office (modern usage)","офис"
"335","adv.","silently (noiseless)","бесшумно"
"336","adj.","knowledgeable","знающий"
"337","adj.","barefoot","босой"
"338","adj.","upcoming","предстоящий"
"339","noun","cook","повар"
"340","verb","jump off","спрыгнуть"
"341","adj.","huge (massive)","здоровенный"
"342","verb","transfer (ongoing)","переносить"
"343","noun","cash register","касса"
"344","adv.","regardless","независимо"
"345","adj.","independent (free)","независимый"
"346","verb","despise","презирать"
"347","verb","overgrow","зарасти"
"348","adj.","heavy (severe)","тяжкий"
"349","verb","lower (continuously)","опускать"
"350","adj.","elegant","изящный"
"351","verb","move (residence)","переехать"
"352","noun","tablecloth","скатерть"
"353","noun","scoundrel (more offensive)","негодяй"
"354","verb","run away (keep running away)","убегать"
"355","adj.","Ukrainian","украинский"
"356","noun","campaign","кампания"
"357","noun","countess","графа"
"358","adj.","military (army's)","армейский"
"359","verb","listen carefully","прислушаться"
"360","verb","free oneself","освободиться"
"361","adj.","criminal (wrongdoing)","преступный"
"362","adj.","street","уличный"
"363","noun","rat","крыса"
"364","verb","inquire (repeatedly)","расспрашивать"
"365","verb","push (ongoing)","толкать"
"366","adv.","desperately","отчаянно"
"367","verb","emit","издать"
"368","verb","grab (grab hold)","схватиться"
"369","verb","whirl (ongoing)","кружиться"
"370","noun","liberation","освобождение"
"371","verb","begins to crawl","поползти"
"372","adj.","concrete","бетонный"
"373","noun","forecast","прогноз"
"374","noun","shooting (filming)","съёмка"
"375","verb","suddenly realize","спохватиться"
"376","noun","icon","икона"
"377","verb","bury (respectful)","похоронить"
"378","verb","squeeze (ongoing)","сжимать"
"379","noun","territory (area)","местность"
"380","adj.","precious","драгоценный"
"381","verb","increase (gradually)","нарастать"
"382","adj.","Chechen","чеченский"
"383","","from the inside","изнутри"
"384","verb","break off","оборвать"
"385","noun","failure (complete)","провал"
"386","verb","keep adding","добавлять"
"387","adv.","loudly (noisy)","шумно"
"388","adj.","noisy","шумный"
"389","noun","bit","малость"
"390","verb","peek (once)","выглянуть"
"391","verb","chase","гонять"
"392","noun","negro","негр"
"393","adj.","stinky","вонючий"
"394","verb","hurry (one-time)","поспешить"
"395","adj.","young (newly young)","молоденький"
"396","","stop","стоп"
"397","noun","lumberjack","дровосек"
"398","adv.","persistently","упорно"
"399","verb","run through","пробежать"
"400","adj.","condescending","снисходительный"
"401","adj.","intolerable","невыносимый"
"402","noun","satisfaction","удовлетворение"
"403","verb","tuck in","засунуть"
"404","verb","get angry (suddenly)","рассердиться"
"405","noun","rhythm","ритм"
"406","verb","restrain","сдерживать"
"407","verb","run up (one-time)","подбежать"
"408","adv.","up to","вплоть"
"409","noun","charm","прелесть"
"410","verb","hide oneself (completed)","спрятаться"
"411","adj.","light brown","бурый"
"412","noun","introduction","введение"
"413","noun","pigeon","голубок"
"414","noun","ice cream","мороженое"
"415","adj.","nonsensical","бессмысленный"
"416","noun","contempt","презрение"
"417","noun","district (administrative)","округ"
"418","noun","nurse","медсестра"
"419","noun","translator","переводчик"
"420","verb","add up","складываться"
"421","adv.","unitedly","дружно"
"422","verb","breed","разводить"
"423","adj.","cozy","уютный"
"424","noun","Japanese (person)","японец"
"425","verb","repeat (reiterate)","повторяться"
"426","noun","melody","мелодия"
"427","noun","shaft","вал"
"428","verb","toil, work hard","трудиться"
"429","noun","formation","формирование"
"430","verb","get dressed (completed action)","одеться"
"431","verb","overcome","преодолеть"
"432","noun","Canada","Канада"
"433","adv.","really (indeed)","впрямь"
"434","adj.","underwater","подводный"
"435","noun","pot (smaller","горшок"
"436","verb","be determined","определяться"
"437","noun","edge (more figurative)","грань"
"438","verb","appoint (ongoing process)","назначать"
"439","noun","chicken","курица"
"440","verb","sway (one-time)","качаться"
"441","noun","nickname","прозвище"
"442","noun","pace","темп"
"443","adj.","informational","информационный"
"444","noun","landing","посадка"
"445","verb","endure, experience","потерпеть"
"446","noun","precipice","обрыв"
"447","noun","thread","нитка"
"448","noun","poster","плакат"
"449","noun","gang","банда"
"450","verb","cut out","вырезать"
"451","verb","miss (person)","скучать"
"452","verb","avoid (completed action)","избежать"
"453","noun","infection","инфекция"
"454","noun","conviction","убеждение"
"455","noun","flesh","плоть"
"456","adj.","businesslike","деловитый"
"457","verb","throw casually","кидать"
"458","noun","flock","стая"
"459","adj.","considerable","немалый"
"460","noun","destruction","уничтожение"
"461","adv.","smoothly (successful)","успешно"
"462","noun","verge","обочина"
"463","adv.","greedily","жадно"
"464","noun","mansion (estate, manor)","усадьба"
"465","noun","badly","худо"
"466","verb","be given","даваться"
"467","noun","trench (military)","траншея"
"468","verb","drag on","затянуться"
"469","noun","stool","табуретка"
"470","verb","lift (lift high)","задрать"
"471","adj.","objective","объективный"
"472","verb","run away (run off)","сбегать"
"473","noun","ashes","пепел"
"474","verb","dangle","болтаться"
"475","noun","cork","пробка"
"476","verb","tie (tie regularly)","связывать"
"477","noun","Russia (official abbreviation)","РФ"
"478","verb","learn (thoroughly)","изучить"
"479","noun","conducting","проведение"
"480","adj.","decent, honest","порядочный"
"481","noun","province","провинция"
"482","verb","yield, give way","уступать"
"483","noun","forgiveness","прощение"
"484","noun","portion","порция"
