"id","part_of_speech","definition","answer"
"1","noun","safety","безопасность"
"2","verb","hide continually","скрывать"
"3","verb","commit (one-time action)","совершить"
"4","noun","cross","крест"
"5","adj.","earthly","земной"
"6","adj.","school","школьный"
"7","verb","freeze, go still","замереть"
"8","adj.","transparent","прозрачный"
"9","verb","serve (to submit)","подавать"
"10","adj.","true","истинный"
"11","noun","cabin (small room)","кабина"
"12","noun","coat","пальто"
"13","noun","delight","восторг"
"14","noun","economy","экономика"
"15","noun","care","забота"
"16","verb","produce (once)","произвести"
"17","verb","wait for (once)","дождаться"
"18","noun","talent","талант"
"19","verb","swim (swim)","плыть"
"20","noun","record","запись"
"21","noun","bucket","ведро"
"22","noun","peasant","крестьянин"
"23","noun","turn","поворот"
"24","noun","detail","подробность"
"25","noun","pillar","столб"
"26","noun","channel","канал"
"27","noun","passenger","пассажир"
"28","verb","accomplish","выполнить"
"29","noun","device (gadget)","устройство"
"30","","thanks to","благодаря"
"31","verb","head (to a destination)","направиться"
"32","noun","influence","влияние"
"33","noun","rocket","ракета"
"34","adj.","civil","гражданский"
"35","verb","joke (continuously)","шутить"
"36","noun","shift","смена"
"37","verb","happen periodically","случаться"
"38","verb","hide once","спрятать"
"39","verb","face","предстоять"
"40","noun","back of the head","затылок"
"41","noun","south","юг"
"42","noun","epoch","эпоха"
"43","noun","commodity","товар"
"44","adj.","damned","проклятый"
"45","noun","branch","ветка"
"46","verb","feed (someone else)","кормить"
"47","verb","continue (situation)","продолжаться"
"48","noun","scout","разведчик"
"49","adv.","excellent (superb)","отлично"
"50","noun","God (exclamation)","боже"
"51","noun","youth","молодость"
"52","verb","rest (ongoing)","отдыхать"
"53","noun","October","октябрь"
"54","adv.","widely","широко"
"55","noun","temple","храм"
"56","verb","hand in","сдать"
"57","num.","sixth","шестой"
"58","verb","complain","жаловаться"
"59","noun","rock","скала"
"60","noun","calculation","расчёт"
"61","verb","decide (make up one's mind)","решиться"
"62","adj.","dreadful (frightening)","грозный"
"63","verb","become (be made suddenly)","сделаться"
"64","noun","offense","обида"
"65","verb","advance, approach","наступать"
"66","verb","hide, disappear","скрыться"
"67","noun","garden (vegetable)","огород"
"68","adv.","to what extent","насколько"
"69","noun","reserve","запас"
"70","noun","feature (characteristic)","особенность"
"71","verb","be leaving by vehicle","уезжать"
"72","verb","engage in","заняться"
"73","noun","ball","шар"
"74","noun","stove","печка"
"75","adv.","unpleasantly","неприятно"
"76","adj.","unpleasant","неприятный"
"77","adj.","mighty","могучий"
"78","adv.","in advance","заранее"
"79","noun","discovery","открытие"
"80","verb","transition","переходить"
"81","noun","order (medal, award)","орден"
"82","verb","get into","попадать"
"83","noun","shoe (boot, shoe)","ботинок"
"84","noun","benefit","польза"
"85","noun","printing","печать"
"86","noun","sweat","пот"
"87","noun","hull","корпус"
"88","noun","warehouse","склад"
"89","noun","computer","компьютер"
"90","adv.","left","слева"
"91","verb","respect","уважать"
"92","verb","marry","женить"
"93","noun","wound","рана"
"94","verb","lie down (repeatedly)","ложиться"
"95","noun","box","коробка"
"96","noun","secret (less formal)","секрет"
"97","num.","seventh","седьмой"
"98","noun","hill","холм"
"99","adj.","forest","лесной"
"100","noun","strap","ремень"
"101","","such (nature)","таков"
"102","noun","work (work of art)","произведение"
"103","noun","digit","цифра"
"104","noun","hello","привет"
"105","adj.","telephone","телефонный"
"106","noun","assistant","помощник"
"107","noun","flight","полет"
"108","noun","fire (conflagration)","пожар"
"109","noun","cow","корова"
"110","noun","stupidity","глупость"
"111","verb","arrange (locate)","расположить"
"112","verb","sit (sit for a while)","посидеть"
"113","verb","pour (fill up)","налить"
"114","noun","symptom","симптом"
"115","verb","figure out (simple situation)","сообразить"
"116","adj.","southern","южный"
"117","noun","piece of paper","бумажка"
"118","noun","radio","радио"
"119","adj.","hasty","торопливый"
"120","verb","succeed (be succeeding)","удаваться"
"121","","ha","ха"
"122","noun","profession","профессия"
"123","verb","be heard (be audible)","послышаться"
"124","adj.","even","ровный"
"125","adj.","ancient (historical)","старинный"
"126","noun","reconnaissance","разведка"
"127","noun","witness","свидетель"
"128","verb","point out","указать"
"129","noun","robe","халат"
"130","adj.","today's","сегодняшний"
"131","adj.","winter","зимний"
"132","noun","darkness (literary)","тьма"
"133","verb","lead (lead the way)","повести"
"134","noun","message","сообщение"
"135","noun","coffin","гроб"
"136","verb","catch on the move","подхватить"
"137","noun","pit","яма"
"138","","behind (location)","позади"
"139","noun","gesture","жест"
"140","verb","arrange (arranging)","устраивать"
"141","noun","highway (major road)","шоссе"
"142","verb","participate","участвовать"
"143","noun","respect","уважение"
"144","noun","chain","цепь"
"145","noun","basement","подвал"
"146","adv.","formerly","некогда"
"147","verb","preserve (once)","сохранить"
"148","noun","lamp","лампа"
"149","verb","close (repeated action)","закрывать"
"150","noun","share","доля"
"151","adv.","not bad","неплохо"
"152","adv.","funny","смешно"
"153","adj.","funny","смешной"
"154","verb","be needed","понадобиться"
"155","noun","old woman (affectionate)","старушка"
"156","verb","nod (swing)","покачать"
"157","verb","be clarified","выясниться"
"158","verb","destroy (completely)","уничтожить"
"159","verb","lead away (specific direction)","отвести"
"160","noun","mushroom","гриб"
"161","verb","wander","бродить"
"162","noun","weather","погода"
"163","noun","monument","памятник"
"164","noun","heat","жар"
"165","verb","lie (be strewn)","валяться"
"166","adj.","leather","кожаный"
"167","noun","mechanism","механизм"
"168","noun","Israel","Израиль"
"169","adv.","peacefully","мирно"
"170","adj.","peaceful","мирный"
"171","noun","loss","потеря"
"172","verb","pronounce (repeatedly)","произносить"
"173","noun","control","контроль"
"174","adj.","professional","профессиональный"
"175","noun","small door","дверца"
"176","verb","warn (once)","предупредить"
"177","verb","achieve (after effort)","добиться"
"178","noun","norm","норма"
"179","noun","spoon","ложка"
"180","noun","salary","зарплата"
"181","noun","rope","веревка"
"182","noun","method (method, approach)","метода"
"183","noun","exception","исключение"
"184","verb","remove (clean up)","убрать"
"185","noun","excitement (agitation, worry)","волнение"
"186","verb","maintain","поддерживать"
"187","verb","sell (repeatedly)","продавать"
"188","adv.","gently (tender)","нежно"
"189","adj.","tender","нежный"
"190","noun","bath","баня"
"191","","by means of","путем"
"192","verb","hang (to suspend something)","повесить"
"193","noun","dinner","ужин"
"194","noun","March","март"
"195","verb","look around (continuously)","оглядываться"
"196","noun","signal","сигнал"
"197","verb","play (once)","сыграть"
"198","noun","library","библиотека"
"199","verb","send (formal)","услать"
"200","verb","wave (be waving)","махать"
"201","noun","Central Committee","ЦК"
"202","verb","assume","предполагать"
"203","adv.","noticeably","заметно"
"204","adj.","noticeable","заметный"
"205","noun","network","сеть"
"206","adj.","dark brown","коричневый"
"207","adv.","thoroughly","тщательно"
"208","noun","nerve","нерв"
"209","noun","helicopter","вертолет"
"210","adj.","sweet","сладкий"
"211","noun","medicine","лекарство"
"212","verb","expect","рассчитывать"
"213","verb","forbid","запретить"
"214","noun","cemetery","кладбище"
"215","noun","transition","переход"
"216","verb","inform (repeatedly)","сообщать"
"217","noun","function","функция"
"218","verb","interrupt (break off)","перебить"
"219","noun","machine gun","пулемет"
"220","adj.","metallic","металлический"
"221","noun","battalion","батальон"
"222","noun","truck","грузовик"
"223","adv.","joyfully","радостно"
"224","adj.","joyful","радостный"
"225","noun","emperor","император"
"226","verb","be offended","обидеться"
"227","noun","tower","башня"
"228","adj.","raw","сырой"
"229","noun","tool (instrument)","инструмент"
"230","verb","carry out","вынести"
"231","noun","trifle","мелочь"
"232","adj.","stiff","жёсткий"
"233","adv.","harshly","жёстко"
"234","noun","presence","присутствие"
"235","adj.","broken","разбитый"
"236","verb","glance (glance regularly)","поглядывать"
"237","noun","structure","структура"
"238","verb","respond (once)","отозваться"
"239","adv.","infinitely","бесконечно"
"240","adj.","endless","бесконечный"
"241","noun","shotgun","ружье"
"242","verb","be delighted","обрадоваться"
"243","noun","participant","участник"
"244","verb","get caught (unexpectedly)","попасться"
"245","noun","task (assignment)","задание"
"246","verb","mumble (once)","пробормотать"
"247","verb","abandon a place","покинуть"
"248","noun","feather","перо"
"249","noun","sphere","сфера"
"250","noun","judge","судья"
"251","adj.","vital","жизненный"
"252","verb","finish (finish up)","кончить"
"253","noun","leaflet","листок"
"254","adj.","equal","равный"
"255","adj.","awful","ужасный"
"256","noun","rest (relaxation, leisure)","отдых"
