"id","part_of_speech","definition","answer"
"1","noun","the Canada","das Kanada"
"2","adj.","selected","ausgesucht"
"3","noun","the zone","die Zone"
"4","verb","collect","sammeln"
"5","noun","the wall (barrier)","die Mauer"
"6","noun","the exit","der Ausgang"
"7","verb","watch something attentively","anschauen"
"8","noun","the accusation","die Anklage"
"9","noun","the little game","das Spielchen"
"10","noun","the weight","das Gewicht"
"11","verb","ride","reiten"
"12","verb","smile","lächeln"
"13","noun","the author","der Autor"
"14","noun","the yen","der Yen"
"15","verb","regret","bereuen"
"16","noun","the satellite","der Satellit"
"17","noun","the return","die Rückkehr"
"18","noun","the reporter","der Reporter"
"19","noun","the Tuesday","der Dienstag"
"20","verb","provide information","berichten"
"21","noun","the mouse","die Maus"
"22","adj.","ugly","hässlich"
"23","noun","the talent or gift","die Gabe"
"24","noun","the prostitute","die Nutte"
"25","adj.","wet","nass"
"26","noun","the circumstance","der Umstand"
"27","noun","the thousand","das Tausend"
"28","verb","present","präsentieren"
"29","noun","the crisis","die Krise"
"30","noun","the youth","die Jugend"
"31","noun","the health","die Gesundheit"
"32","verb","hire","anstellen"
"33","noun","the affair","die Affäre"
"34","noun","the competition","der Wettbewerb"
"35","noun","the fortune","das Vermögen"
"36","adv.","next door","nebenan"
"37","noun","the costs","die Kosten"
"38","adj.","extreme","extrem"
"39","verb","conceal","verbergen"
"40","adj.","unpleasant","unangenehm"
"41","noun","the crime scene","der Tatort"
"42","verb","save","sparen"
"43","noun","the underwear","die Unterwäsche"
"44","noun","the museum","das Museum"
"45","noun","the canal","der Kanal"
"46","verb","convict","verurteilen"
"47","verb","continue","weitergehen"
"48","noun","the action (activity)","die Action"
"49","verb","screw up","vermasseln"
"50","adv.","always (continuously)","stets"
"51","noun","the stand","der Stand"
"52","noun","the style","der Schick"
"53","noun","the loud noise","der Lärm"
"54","noun","the driver's license","der Führerschein"
"55","noun","the assault","der Anschlag"
"56","noun","the insurance","die Versicherung"
"57","adj.","useful","nützlich"
"58","noun","the team (sports team)","die Mannschaft"
"59","noun","the perpetrator","der Täter"
"60","noun","the model","das Modell"
"61","noun","the copy","die Kopie"
"62","verb","silence","schweigen"
"63","noun","the puzzle","das Rätsel"
"64","noun","the passion","die Leidenschaft"
"65","verb","die (perish)","stirben"
"66","noun","the spy","der Spion"
"67","noun","the change","die Veränderung"
"68","noun","the luggage","das Gepäck"
"69","noun","the entrance","der Eingang"
"70","verb","turn around","wenden"
"71","noun","the rocket","die Rakete"
"72","adj.","holy","heilig"
"73","verb","explode","explodieren"
"74","adj.","popular","beliebt"
"75","noun","the technology","die Technologie"
"76","noun","the cookie","der Keks"
"77","verb","relocate","versetzen"
"78","adj.","double","doppelt"
"79","noun","the evil","das Böse"
"80","noun","the appetite","der Appetit"
"81","verb","piss off","verpissen"
"82","noun","the university","die Universität"
"83","adj.","currently","momentan"
"84","noun","the servant","der Diener"
"85","noun","the ash","die Asche"
"86","noun","the fishing rod","die Angel"
"87","noun","the successful hit","der Treffer"
"88","noun","the buzzer","der Summer"
"89","noun","the pen","der Stift"
"90","noun","the loser","der Verlierer"
"91","noun","the heat","die Hitze"
"92","noun","the challenge","die Herausforderung"
"93","noun","the hook","der Haken"
"94","adj.","soft","weich"
"95","noun","the governor","der Gouverneur"
"96","noun","the joke","der Gag"
"97","adj.","meaningless","sinnlos"
"98","noun","the nation","die Nation"
"99","noun","the century","das Jahrhundert"
"100","noun","the rumor","das Gerücht"
"101","verb","wake up (from sleep)","aufwachen"
"102","noun","the sin","die Sünde"
"103","noun","the mum","die Mum"
"104","adj.","valiant","tapfer"
"105","noun","the pulse","der Puls"
"106","noun","the pool","der Pool"
"107","noun","the mood (temperament)","die Laune"
"108","noun","the identity","die Identität"
"109","noun","the hill","der Hügel"
"110","adv.","if you please","gefälligst"
"111","noun","the wooden board","das Brett"
"112","adj.","unhappy","unglücklich"
"113","noun","the zero","die Null"
"114","adj.","cute","niedlich"
"115","noun","the present","die Gegenwart"
"116","adj.","strange","fremd"
"117","verb","utilize (a tool)","einsetzen"
"118","noun","the campsite","das Camp"
"119","verb","go back","zurückgehen"
"120","noun","the motorcycle","das Motorrad"
"121","noun","the master's degree","der Master"
"122","noun","the fingerprint","der Fingerabdruck"
"123","verb","avoid","vermeiden"
"124","noun","the handcuff","die Handschelle"
"125","noun","the ambassador","der Botschafter"
"126","adj.","attractive","attraktiv"
"127","verb","paint walls","streichen"
"128","noun","the speed","die Geschwindigkeit"
"129","verb","befriend","befreunden"
"130","verb","get off","aussteigen"
"131","noun","the witness","der Zeuge"
"132","noun","the retreat","der Rückzug"
"133","verb","give away","abgeben"
"134","noun","the effect","die Wirkung"
"135","verb","damage","schaden"
"136","adv.","mostly","meistens"
"137","noun","the trade","der Handel"
"138","noun","the excellence","die Exzellenz"
"139","noun","the applause","der Applaus"
"140","noun","the resistance","der Widerstand"
"141","adj.","brave","mutig"
"142","noun","the sip","der Schluck"
"143","noun","the plain","die Ebene"
"144","verb","insult","beleidigen"
"145","adj.","rude","unhöflich"
"146","adj.","tank","panzer"
"147","adv.","inside (in a place)","innen"
"148","noun","the golf","der Golf"
"149","verb","enter into","eingehen"
"150","noun","the huntress","die Jägerin"
"151","noun","the gangster","der Gangster"
"152","noun","the jester","der Narr"
"153","noun","the grandson","der Enkel"
"154","noun","the actress","die Schauspielerin"
