"id","part_of_speech","definition","answer"
"1","conj.","that","que"
"2","adv.","not","não"
"3","prep.","of/from","de"
"4","prep.","for/to","para"
"5","pron.","I","eu"
"6","verb","be","estar"
"7","prep.","with","com"
"8","prep.","by/for","por"
"9","adv.","well","bem"
"10","prep.","in/on","em"
"11","pron.","he","ele"
"12","pron.","that","isso"
"13","conj.","but","mas"
"14","adv.","as","como"
"15","adv.","yes","sim"
"16","adv.","more","mais"
"17","pron.","you","você"
"18","adv.","here (in this place)","aqui"
"19","adv.","very","muito"
"20","verb","go","ir"
"21","pron.","she","ela"
"22","verb","do","fazer"
"23","pron.","this","isto"
"24","adv.","already","já"
"25","verb","have","ter"
"26","adv.","only (colloquial)","só"
"27","verb","be (permanent)","ser"
"28","noun","the everything","o tudo"
"29","verb","have knowledge","saber"
"30","adv.","now","agora"
"31","verb","there is","haver"
"32","adv.","there (far away)","lá"
"33","pron.","you (informal)","tu"
"34","adv.","when","quando"
"35","conj.","because (to explain a reason)","porque"
"36","pron.","who","quem"
"37","adv.","where","onde"
"38","noun","the nothing","o nada"
"39","adv.","then","então"
"40","verb","say","dizer"
"41","pron.","to him/her","lhe"
"42","conj.","or","ou"
"43","noun","the thing","a coisa"
"44","verb","want","querer"
"45","verb","can","poder"
"46","pron.","we","nós"
"47","adv.","same","mesmo"
"48","verb","see","ver"
"49","pron.","they (masculine)","eles"
"50","adj.","good","bom"
"51","adv.","nevermore","nunca"
"52","pron.","this (near the speaker)","este"
"53","noun","the house","a casa"
"54","prep.","until","até"
"55","adv.","like this","assim"
"56","verb","find","achar"
"57","noun","the time","o tempo"
"58","verb","speak","falar"
"59","noun","the what","o quê"
"60","adv.","still","ainda"
"61","adj.","your","teu"
"62","noun","the favor","o favor"
"63","noun","the father","o pai"
"64","adv.","also","também"
"65","noun","the turn","a vez"
"66","noun","the god","o deus"
"67","adj.","sure","certo"
"68","adv.","so","tão"
"69","prep.","over/about","sobre"
"70","adj.","better","melhor"
"71","noun","the night","a noite"
"72","noun","the day","o dia"
"73","adv.","maybe","talvez"
"74","conj.","neither","nem"
"75","adv.","after","depois"
"76","adv.","always","sempre"
"77","noun","the mother","a mãe"
"78","noun","the life","a vida"
"79","prep.","without","sem"
"80","pron.","someone","alguém"
"81","noun","the man","o homem"
"82","pron.","something","algo"
