"id","part_of_speech","definition","answer"
"1","adj.","wet","мокрый"
"2","noun","order (command, directive)","приказ"
"3","adj.","straight","прямой"
"4","verb","start shouting","закричать"
"5","verb","end (end)","кончиться"
"6","noun","bush","куст"
"7","verb","shoot (fire)","стрелять"
"8","noun","painter","художник"
"9","noun","sign","знак"
"10","noun","factory (industrial plant)","завод"
"11","noun","fist","кулак"
"12","verb","use (once)","использовать"
"13","noun","glass (drinking glass)","стакан"
"14","verb","smell","пахнуть"
"15","adv.","from here","отсюда"
"16","noun","mouth","рот"
"17","adv.","time","пора"
"18","verb","pass on","передать"
"19","noun","treatment","лечение"
"20","adj.","highest","высший"
"21","noun","day (24 hours)","сутки"
"22","verb","get up","вставать"
"23","noun","operation","операция"
"24","noun","space","пространство"
"25","adj.","calm","спокойный"
"26","noun","clothing","одежда"
"27","noun","piece","кусок"
"28","noun","theme","тема"
"29","adj.","animal","животный"
"30","verb","remove (unload)","снимать"
"31","noun","art","искусство"
"32","adj.","smart","умный"
"33","adj.","small (less in size)","малый"
"34","noun","course (study)","курс"
"35","verb","be calling","звонить"
"36","adj.","next (in line)","очередной"
"37","noun","miracle","чудо"
"38","noun","sensation","ощущение"
"39","adv.","extremely (to a great degree)","крайне"
"40","adj.","extreme","крайний"
"41","verb","remind (continually)","напоминать"
"42","verb","come up with","придумать"
"43","verb","fall (ongoing process)","падать"
"44","noun","building","здание"
"45","adj.","fresh","свежий"
"46","verb","talk (once)","поговорить"
"47","verb","begin (ongoing process)","начинаться"
"48","noun","police (obsolete term)","милиция"
"49","verb","order (command)","приказать"
"50","","despite (in spite of)","несмотря"
"51","adv.","from there","оттуда"
"52","verb","laugh (start laughing)","засмеяться"
"53","noun","wave","волна"
"54","noun","task","задача"
"55","verb","touch (touch lightly)","касаться"
"56","noun","old woman (disrespectful)","старуха"
"57","noun","troops","войско"
"58","noun","term","срок"
"59","noun","horror","ужас"
"60","adj.","narrow","узкий"
"61","noun","material","материал"
"62","verb","begin earnestly","приняться"
"63","adv.","normal","нормально"
"64","adj.","normal","нормальный"
"65","noun","scream","крик"
"66","noun","knowledge","знание"
"67","num.","three (people)","трое"
"68","num.","fourth","четвёртый"
"69","noun","noise","шум"
"70","verb","make (force to do)","заставить"
"71","noun","gun","автомат"
"72","adv.","sharply (sudden)","резко"
"73","noun","aunt","тетя"
"74","noun","impression","впечатление"
"75","noun","pause","пауза"
"76","noun","depth","глубина"
"77","noun","dollar","доллар"
"78","noun","hundred","сотня"
"79","adv.","guilty","виновато"
"80","adj.","guilty","виноватый"
"81","noun","student","студент"
"82","adj.","combat","боевой"
"83","noun","point (score)","очко"
"84","noun","knife","нож"
