"id","part_of_speech","definition","answer"
"1","","and","и"
"2","","in (inside)","в"
"3","","not","не"
"4","","he","он"
"5","","on","на"
"6","","I","я"
"7","","what","что"
"8","","that (specific)","тот"
"9","verb","be (state of being)","быть"
"10","","with (along)","с"
"11","","but (contrast)","а"
"12","","whole","весь"
"13","","this (neutral)","это"
"14","","how","как"
"15","","she","она"
"16","","by","по"
"17","","but (negative)","но"
"18","","they","они"
"19","","to (direction)","к"
"20","","at (location)","у"
"21","","you (singular)","ты"
"22","","from (origin)","из"
"23","","we","мы"
"24","","for (in exchange)","за"
"25","","you (plural)","вы"
"26","adv.","so (in this way)","так"
"27","","well (indeed)","же"
"28","","from (distance)","от"
"29","verb","say (once)","сказать"
"30","","this (masculine)","этот"
"31","","which (specific)","который"
"32","verb","be able (general term)","мочь"
"33","noun","person","человек"
"34","","about (regarding)","о"
"35","num.","one","один"
"36","","yet","еще"
"37","","would","бы"
"38","","such (kind)","такой"
"39","","only (solely)","только"
"40","","self","себя"
"41","","own (neutral gender)","свое"
"42","","which (questioning)","какой"
"43","","when","когда"
"44","","already (used)","уже"
"45","","for (purpose)","для"
"46","","here","вот"
"47","","who (specific)","кто"
"48","","yes (affirmative)","да"
"49","verb","speak (ongoing)","говорить"
"50","noun","year","год"
"51","verb","know (general)","знать"
"52","","my","мой"
"53","","before (until)","до"
"54","","or","или"
"55","","if (conditional)","если"
"56","noun","time","время"
"57","noun","hand","рука"
"58","","no (negative)","нет"
"59","","most","самый"
"60","","nor","ни"
"61","verb","become (become)","стать"
"62","adj.","big","большой"
"63","","even (also)","даже"
"64","","other (alternative)","другой"
"65","","our","наш"
"66","","own (masculine)","свой"
"67","","well (so)","ну"
"68","","under","под"
"69","adv.","where (at which place)","где"
"70","noun","matter","дело"
"71","verb","have (exist)","есть"
"72","","itself","сам"
"73","noun","time, occasion","раз"
"74","","in order to (purpose)","чтобы"
"75","num.","two","два"
"76","adv.","there (over there)","там"
"77","","than","чем"
"78","noun","eye","глаз"
"79","noun","life","жизнь"
"80","num.","first","первый"
"81","noun","day","день"
"82","adv.","here (right here)","тут"
"83","","in (into)","во"
"84","","nothing (nihilistic)","ничто"
"85","adv.","then (afterwards)","потом"
"86","adv.","very","очень"
"87","","with (together)","со"
"88","verb","want (desire)","хотеть"
"89","","whether","ли"
"90","","at (during)","при"
"91","noun","head","голова"
"92","","must","надо"
"93","","without","без"
"94","verb","see (observe)","видеть"
"95","verb","go (go by foot)","идти"
"96","adv.","now (currently)","теперь"
"97","adv.","also","тоже"
"98","verb","stand (stand still)","стоять"
"99","noun","friend","друг"
"100","noun","house","дом"
"101","adv.","now (right now)","сейчас"
"102","","possible","можно"
"103","","after (subsequent)","после"
"104","noun","word","слово"
"105","adv.","here (in this place)","здесь"
"106","verb","think (contemplate)","думать"
"107","noun","place","место"
"108","verb","ask directly","спросить"
"109","","through (across)","через"
"110","noun","face","лицо"
"111","","that (general)","что"
"112","adv.","then (at that time)","тогда"
"113","","after all","ведь"
"114","adj.","good","хороший"
"115","","every","каждый"
"116","adj.","new (fresh)","новый"
"117","verb","live (in general)","жить"
"118","adj.","due","должный"
"119","verb","watch (ongoing)","смотреть"
"120","adv.","why (for what reason)","почему"
"121","adv.","because","потому"
"122","noun","side","сторона"
"123","adv.","simply (merely)","просто"
"124","noun","leg","нога"
"125","verb","sit (sit)","сидеть"
"126","verb","understand (understand)","понять"
"127","verb","have (possess)","иметь"
"128","adj.","final (last)","конечный"
"129","verb","do","делать"
"130","adv.","suddenly (unexpected)","вдруг"
"131","","over (above)","над"
"132","verb","take (take)","взять"
"133","","nobody","никто"
"134","verb","make (do something)","сделать"
"135","noun","door","дверь"
"136","","before (in front)","перед"
"137","adj.","necessary (needed)","нужный"
"138","verb","understand (be understanding)","понимать"
"139","verb","seem","казаться"
"140","noun","work","работа"
"141","num.","three","три"
"142","","your (plural)","ваш"
"143","","already (informal)","уж"
"144","noun","earth","земля"
"145","noun","end","конец"
"146","adv.","several","несколько"
"147","noun","hour","час"
"148","noun","voice","голос"
"149","noun","city","город"
"150","adj.","last","последний"
"151","adv.","while","пока"
"152","adv.","good","хорошо"
"153","verb","give regularly","давать"
"154","noun","water","вода"
"155","adv.","more","более"
"156","","although","хотя"
"157","adv.","always","всегда"
"158","num.","second","второй"
"159","adv.","where (to which place)","куда"
"160","verb","go (start going by foot)","пойти"
"161","noun","table","стол"
"162","noun","child","ребенок"
"163","verb","see (catch sight)","увидеть"
"164","noun","power (strength, force)","сила"
"165","noun","father","отец"
"166","noun","woman","женщина"
"167","noun","car","машина"
"168","noun","case","случай"
"169","noun","night","ночь"
"170","adv.","immediately (straightaway)","сразу"
"171","noun","world","мир"
"172","adv.","completely (utterly)","совсем"
"173","verb","stay (once)","остаться"
"174","","about (concerning)","об"
"175","noun","view","вид"
"176","verb","go out, exit","выйти"
"177","verb","give once","дать"
"178","verb","work (general term)","работать"
"179","verb","love","любить"
"180","adj.","old","старый"
"181","adv.","almost","почти"
"182","noun","row","ряд"
"183","verb","turn out","оказаться"
"184","noun","beginning","начало"
"185","","your (singular)","твой"
"186","noun","question","вопрос"
"187","adv.","many","много"
"188","noun","war","война"
"189","adv.","again (once more)","снова"
"190","verb","answer (single instance)","ответить"
"191","","between (objects)","между"
"192","verb","think (ponder)","подумать"
"193","adv.","again (yet again)","опять"
"194","adj.","white","белый"
"195","noun","money","деньги"
"196","verb","mean (specific)","значить"
"197","","about (about)","про"
"198","","only (merely)","лишь"
"199","noun","minute","минута"
"200","noun","wife","жена"
"201","verb","watch (once)","посмотреть"
"202","noun","truth","правда"
"203","adj.","main (primary)","главный"
"204","noun","country","страна"
"205","noun","light","свет"
"206","verb","wait (wait)","ждать"
"207","noun","mother","мать"
"208","","as if (supposedly)","будто"
"209","adv.","never","никогда"
"210","noun","comrade","товарищ"
"211","noun","road","дорога"
"212","","however (contrast)","однако"
"213","verb","lie (physically)","лежать"
